SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
,,,,
M,10 years ago...,none,INTRODUCTION,BG blossoms
,,,,
M,I walked this same path that reached the other side of a town thatXYZ at the time...,none,INTRODUCTION,BG blossoms
,,,,
M,I would call home.,none,INTRODUCTION,BG blossoms
,,,,
M,The new buildings and paved walkways made the little rural town I grew up in almost unrecognizableXYZ but something about being back hereXYZ for the first time... since I lost someone...,none,INTRODUCTION,BG blossoms
,,,,
M,made everything feel more familiar.,none,INTRODUCTION,BG blossoms
,,,,
M,This time last SpringXYZ my MotherXYZ after a long battleXYZ succumbed to her illness and passed on.,none,INTRODUCTION,BG blossoms
,,,,
M,I spent the last four seasons grievingXYZ letting time pass by...wishing things were different...,none,INTRODUCTION,BG blossoms
,,,,
M,Until I realizedXYZ even if time seemed to stop in my cramped room... Seasons were still changing outside. And I was missing all of it.,none,INTRODUCTION,BG blossoms
,,,,
M,As last winter’s snow began to meltXYZ signaling the coming of a new school term,none,INTRODUCTION,BG blossoms
,,,,
M,my remaining family gently suggested to finish my last year as a high school student in a more familiar setting.,none,INTRODUCTION,BG blossoms
,,,,
M,My hometown.,none,INTRODUCTION,BG blossoms
,,,,
M,In the distanceXYZ I see trees dotted with flush colored blossomsXYZ slowly growing near.,none,INTRODUCTION,BG blossoms
,,,,
MC,Cherry blossoms. Those were her favorite.,none,INTRODUCTION,BG blossoms
,,,,
M,I stop in the middle of the roadXYZ basking in the comfortable Spring breezeXYZ recalling the times my mom would drag me to the cherry blossom viewings.,none,INTRODUCTION,BG blossoms
,,,,
M,We’ve been to many different onesXYZ but...,none,INTRODUCTION,BG blossoms
,,,,
M,Nothing could ever compare to my home town’s blossoms.,none,INTRODUCTION,BG blossoms
,,,,
Haruka,They’re prettyXYZ aren’t they?,default2,INTRODUCTION,BG blossoms
,,,,
MC,Huh?,none,INTRODUCTION,BG blossoms
,,,,
M,I turn to see a small girl with blush colored hairXYZ gazing at the same tree I was dazed by.,default,INTRODUCTION,BG blossoms
,,,,
MC,Yeah... too bad they don’t last very longXYZ though.,none,INTRODUCTION,BG blossoms
,,,,
Haruka,Hm...,default,INTRODUCTION,BG blossoms
,,,,
M,The girl shakes her headXYZ still admiring the budding flowers.,default,INTRODUCTION,BG blossoms
,,,,
Haruka,Isn’t that part of their beautyXYZ though? The fact you know they won’t be there longXYZ but...,default,snowy-roads instrumental,CG opening
,,,,
Haruka,you spend extra time looking at them anyways?,default,snowy-roads instrumental,CG opening
,,,,
MC,...,none,snowy-roads instrumental,CG opening
,,,,
Haruka,In the countrysideXYZ there are so many wonderful plants and flowers that bloom year-round.,default,snowy-roads instrumental,CG opening
,,,,
Haruka,But people always make a big event of seeing the ones that don’t last long. It must be because they’re temporaryXYZ don’t you think?,default,snowy-roads instrumental,CG opening
,,,,
M,Temporary...,default,snowy-roads instrumental,CG opening
,,,,
M,So many unhappy memories attached to a single word. If there’s anything I’ve learned this past year...it’s that...,default,snowy-roads instrumental,CG opening
,,,,
M,the only permanent thing in life is the passage of time.,default,snowy-roads instrumental,CG opening
,,,,
M,And time takes away things.,default,snowy-roads instrumental,CG opening
,,,,
MC,I guess that means we just take things for grantedXYZ then.,none,snowy-roads instrumental,CG opening
,,,,
M,The girl laughs a bit.,default,snowy-roads instrumental,CG opening
,,,,
Haruka,That’s a bit dark!,default,snowy-roads instrumental,CG opening
,,,,
M,She turns to meXYZ the slight breeze catching her hair.,default,snowy-roads instrumental,CG opening
,,,,
Haruka,I’d like to think...,default,snowy-roads instrumental,CG opening
,,,,
Haruka,We just know how to especially appreciate things enoughXYZ before they go.,default,snowy-roads instrumental,CG opening
,,,,
M,Before they go...,default,snowy-roads instrumental,CG opening
,,,,
M,10 years agoXYZ I walked this same path.,default,snowy-roads instrumental,CG opening
,,,,
M,This timeXYZ I’m walking on a branching path that wasn’t paved beforeXYZ to the other side of a town that,default,snowy-roads instrumental,CG opening
,,,,
M,Is no longer my home.,default,snowy-roads instrumental,CG opening
