SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
,,,,
Reginald,Thank you for your purchaseXYZ Mr. Fadswell. Your continued patronage is much appreciated. Please do not hesitate to ask for any further assistance.,smile,none,none
,,,,
Fadsy,YeahXYZ yeah. Tell that to my wallet.,default,none,none
,,,,
Sara,EveningXYZ Fadsy.,default,none,none
,,,,
Fadsy,HeyXYZ kid.,smirk,none,none
,,,,
Sara,Shopkeep--,default,none,none
,,,,
Reginald,My designation is Reginald.,default,none,none
,,,,
Sara,Reggie--,default,none,none
,,,,
Reginald,Reginald.,default,none,none
,,,,
Sara,ReginaldXYZ have you got any new--,frown,none,none
,,,,
Reginald,Identification is required before any purchase.,default,none,none
,,,,
Fadsy,HeyXYZ botbrainXYZ you know her. Show some respect.,frown,none,none
,,,,
Reginald,Of courseXYZ Mr. Fadswell. One moment as I prepare inventoryXYZ Miss Sara.,smile,none,none
,,,,
Sara,ThanksXYZ Fadsy. This clunkerXYZ I swear. Spot me a few clams?,default,none,none
,,,,
Fadsy,Not todayXYZ kid.,default,none,none
,,,,
Sara,Not even for your bearcat?,smirk,none,none
,,,,
Fadsy,Nah.,smirk,none,none
,,,,
Sara,Fine. How's the kids?,default,none,none
,,,,
Fadsy,Still not talking to me.,default,none,none
,,,,
Sara,Why do I always ask?,default,none,none
,,,,
Fadsy,I don't knowXYZ why do you?,default,none,none
,,,,
Reginald,Miss SaraXYZ please take a look at our new stock.,default,none,none
